旅次日期,旅次時段(Ex: 12表示為12時00分至12時59分),票證分類 (N-IC: 非電子票證; IC: 電子票證),電子票證卡種,持卡身分,起站代碼,起站中文名稱,迄站代碼,迄站中文名稱,旅運量,資料代表日期(yyyy-MM-dd)
TripDate,TripHour,TicketClass,IDType,HolderType,OriginStationID,OriginStationName,DestinationStationID,DestinationStationName,Volume,InfoDate
2024/5/31,7,IC,iPASS,A,R24,岡山高醫,O4,前金,13,2024/5/31
2024/5/31,14,IC,iPASS,A,R24,岡山高醫,R6,凱旋,2,2024/5/31
2024/5/31,16,IC,EasyCard,A,R22A,橋頭糖廠                ,R22,青埔                  ,1,2024/5/31
2024/5/31,17,IC,iPASS,B,R4A,草衙                  ,R8,三多商圈                ,3,2024/5/31
2024/5/31,17,IC,iPASS,A,R7,獅甲                  ,R3,小港                  ,4,2024/5/31
2024/5/31,15,IC,EasyCard,C01,R11,高雄車站                ,R8,三多商圈                ,1,2024/5/31
2024/5/31,13,IC,iPASS,A,R8,三多商圈,O1,哈瑪星,1,2024/5/31
2024/5/31,13,IC,iPASS,A,R12,後驛                  ,R9,中央公園                ,1,2024/5/31
2024/5/31,10,IC,EasyCard,B,R14,巨蛋                  ,O1,哈瑪星                 ,2,2024/5/31
2024/5/31,8,IC,icash,A,R23,橋頭火車站               ,R9,中央公園                ,2,2024/5/31
2024/5/31,11,IC,iPASS,C01,R7,獅甲                  ,R6,凱旋                  ,1,2024/5/31
2024/5/31,10,IC,iPASS,A,R6,凱旋                  ,R15,生態園區                ,2,2024/5/31
2024/5/31,7,IC,iPASS,C01,R24,岡山高醫                ,O6,信義國小                ,1,2024/5/31
2024/5/31,7,IC,iPASS,B,R24,岡山高醫                ,O7,文化中心                ,2,2024/5/31
2024/5/31,18,IC,iPASS,A,R14,巨蛋                  ,R13,凹子底                 ,6,2024/5/31
2024/5/31,22,IC,icash,A,R15,生態園區                ,R14,巨蛋                  ,1,2024/5/31
2024/5/31,8,IC,iPASS,B,R11,高雄車站,O7,文化中心,1,2024/5/31
2024/5/31,20,IC,EasyCard,B,O6,信義國小                ,R16,左營                  ,1,2024/5/31
2024/5/31,16,IC,iPASS,A,R5,前鎮高中,OT1,大寮,4,2024/5/31
2024/5/31,17,IC,EasyCard,A,R11,高雄車站                ,R24,岡山高醫                ,3,2024/5/31
2024/5/31,18,IC,PaymentID,A,O10,衛武營,O8,五塊厝,1,2024/5/31
2024/5/31,20,IC,iPASS,B,R9,中央公園                ,R8,三多商圈                ,3,2024/5/31
2024/5/31,20,IC,iPASS,A,O7,文化中心,O11,鳳山西站,2,2024/5/31
2024/5/31,18,IC,iPASS,A,R5,前鎮高中                ,R18,油廠國小                ,1,2024/5/31
2024/5/31,10,IC,icash,A,R11,高雄車站                ,O9,苓雅運動園區              ,1,2024/5/31
2024/5/31,18,N-IC,,,O6,信義國小,O4,前金,1,2024/5/31
2024/5/31,11,IC,iPASS,B,R11,高雄車站                ,OT1,大寮                  ,1,2024/5/31
2024/5/31,18,IC,iPASS,A,R16,左營,R17,世運,6,2024/5/31
2024/5/31,14,IC,iPASS,A,R7,獅甲,R9,中央公園,1,2024/5/31
2024/5/31,20,IC,iPASS,A,R21,都會公園                ,R15,生態園區                ,1,2024/5/31
2024/5/31,16,IC,CreditCard,A,O13,大東,R16,左營,1,2024/5/31
2024/5/31,16,IC,iPASS,C01,R8,三多商圈                ,R13,凹子底                 ,2,2024/5/31
2024/5/31,13,IC,iPASS,C02,O13,大東                  ,OT1,大寮                  ,1,2024/5/31
2024/5/31,8,IC,iPASS,A,R6,凱旋,R16,左營,8,2024/5/31
2024/5/31,22,IC,iPASS,C02,R14,巨蛋                  ,O5/R10,美麗島                 ,1,2024/5/31
2024/5/31,19,IC,iPASS,A,O12,鳳山,R11,高雄車站,1,2024/5/31
2024/5/31,21,IC,iPASS,B,R16,左營                  ,R24,岡山高醫                ,2,2024/5/31
2024/5/31,14,IC,CreditCard,A,R14,巨蛋,R11,高雄車站,2,2024/5/31
2024/5/31,22,IC,EasyCard,A,R14,巨蛋                  ,R16,左營                  ,11,2024/5/31
2024/5/31,13,N-IC,,,R3,小港,R6,凱旋,1,2024/5/31
2024/5/31,19,IC,iPASS,A,R11,高雄車站,R20,後勁,2,2024/5/31
2024/5/31,8,IC,iPASS,A,R7,獅甲                  ,R6,凱旋                  ,2,2024/5/31
2024/5/31,18,IC,iPASS,B,R3,小港                  ,R24,岡山高醫                ,2,2024/5/31
2024/5/31,19,IC,PaymentID,A,R24,岡山高醫,R19,楠梓科技園區,1,2024/5/31
2024/5/31,20,IC,iPASS,A,OT1,大寮,O5/R10,美麗島,2,2024/5/31
2024/5/31,21,IC,iPASS,A,R9,中央公園                ,R19,楠梓科技園區              ,3,2024/5/31
2024/5/31,21,IC,icash,A,O5/R10,美麗島                 ,R24,岡山高醫                ,1,2024/5/31
2024/5/31,19,IC,iPASS,A,O7,文化中心                ,R5,前鎮高中                ,1,2024/5/31
2024/5/31,18,IC,EasyCard,B,O7,文化中心                ,O9,苓雅運動園區              ,1,2024/5/31
2024/5/31,10,IC,iPASS,C02,R3,小港                  ,O11,鳳山西站                ,1,2024/5/31
2024/5/31,13,IC,icash,A,R11,高雄車站                ,R9,中央公園                ,1,2024/5/31
2024/5/31,21,IC,iPASS,B,R6,凱旋,R21,都會公園,3,2024/5/31
2024/5/31,18,IC,iPASS,A,R16,左營                  ,O12,鳳山                  ,1,2024/5/31
2024/5/31,11,IC,EasyCard,A,R17,世運                  ,R16,左營                  ,4,2024/5/31
2024/5/31,8,IC,iPASS,B,R21,都會公園,R9,中央公園,6,2024/5/31
2024/5/31,13,IC,iPASS,A,R16,左營                  ,R6,凱旋                  ,4,2024/5/31
2024/5/31,21,IC,EasyCard,A,O6,信義國小                ,R3,小港                  ,1,2024/5/31
2024/5/31,22,IC,iPASS,B,R8,三多商圈,R15,生態園區,2,2024/5/31
2024/5/31,8,IC,iPASS,A,R7,獅甲,R14,巨蛋,12,2024/5/31
2024/5/31,16,IC,iPASS,B,R8,三多商圈,O5/R10,美麗島,3,2024/5/31
2024/5/31,15,IC,iPASS,A,R4,高雄國際機場,R5,前鎮高中,1,2024/5/31
2024/5/31,18,IC,EasyCard,B,O4,前金                  ,R6,凱旋                  ,1,2024/5/31
2024/5/31,18,IC,iPASS,A,R6,凱旋                  ,O1,哈瑪星                 ,1,2024/5/31
2024/5/31,15,IC,EasyCard,B,R16,左營                  ,O8,五塊厝                 ,1,2024/5/31
2024/5/31,19,N-IC,,,R4,高雄國際機場,R24,岡山高醫,3,2024/5/31
2024/5/31,13,IC,iPASS,A,O14,鳳山國中,R13,凹子底,1,2024/5/31
2024/5/31,22,IC,iPASS,A,R11,高雄車站                ,O7,文化中心                ,2,2024/5/31
2024/5/31,8,IC,iPASS,A,OT1,大寮,O1,哈瑪星,14,2024/5/31
2024/5/31,10,IC,iPASS,A,O2,鹽埕埔                 ,R8,三多商圈                ,1,2024/5/31
2024/5/31,16,IC,iPASS,C01,R12,後驛                  ,R8,三多商圈                ,6,2024/5/31
2024/5/31,17,IC,iPASS,A,R15,生態園區,R6,凱旋,2,2024/5/31
2024/5/31,18,IC,CreditCard,A,R11,高雄車站,R16,左營,1,2024/5/31
2024/5/31,18,IC,iPASS,A,R13,凹子底,R14,巨蛋,26,2024/5/31
2024/5/31,16,IC,iPASS,A,O14,鳳山國中,O11,鳳山西站,2,2024/5/31
2024/5/31,20,IC,EasyCard,A,O11,鳳山西站                ,O7,文化中心                ,1,2024/5/31
2024/5/31,16,IC,iPASS,C01,R20,後勁                  ,O5/R10,美麗島                 ,1,2024/5/31
2024/5/31,10,IC,EasyCard,A,R9,中央公園                ,R11,高雄車站                ,1,2024/5/31
2024/5/31,18,IC,iPASS,A,R4A,草衙                  ,R17,世運                  ,1,2024/5/31
2024/5/31,18,IC,iPASS,A,O6,信義國小,R4,高雄國際機場,1,2024/5/31
2024/5/31,21,IC,iPASS,A,R19,楠梓科技園區,O7,文化中心,1,2024/5/31
2024/5/31,12,IC,EasyCard,A,O9,苓雅運動園區              ,O7,文化中心                ,2,2024/5/31
2024/5/31,8,IC,CreditCard,A,R20,後勁,R16,左營,1,2024/5/31
2024/5/31,23,IC,iPASS,B,R14,巨蛋                  ,R24,岡山高醫                ,2,2024/5/31
2024/5/31,19,IC,iPASS,A,R21,都會公園,O7,文化中心,1,2024/5/31
2024/5/31,10,IC,iPASS,A,R4A,草衙                  ,R16,左營                  ,4,2024/5/31
2024/5/31,10,N-IC,,,R14,巨蛋,R4A,草衙,1,2024/5/31
2024/5/31,20,IC,iPASS,B,R9,中央公園                ,O14,鳳山國中                ,1,2024/5/31
2024/5/31,18,IC,EasyCard,A,R16,左營                  ,R12,後驛                  ,36,2024/5/31
2024/5/31,20,IC,iPASS,A,R19,楠梓科技園區              ,R11,高雄車站                ,2,2024/5/31
2024/5/31,8,IC,iPASS,A,R19,楠梓科學園區,R3,小港,6,2024/5/31
2024/5/31,10,IC,PaymentID,A,R7,獅甲,R24,岡山高醫,1,2024/5/31
2024/5/31,22,IC,iPASS,C02,R12,後驛                  ,O8,五塊厝                 ,1,2024/5/31
2024/5/31,19,IC,iPASS,B,O5/R10,美麗島                 ,R7,獅甲                  ,2,2024/5/31
2024/5/31,17,IC,EasyCard,A,R21,都會公園                ,R20,後勁                  ,1,2024/5/31
2024/5/31,6,IC,EasyCard,B,R12,後驛                  ,R16,左營                  ,1,2024/5/31
2024/5/31,10,IC,iPASS,C01,R5,前鎮高中                ,R16,左營                  ,2,2024/5/31
2024/5/31,17,IC,iPASS,A,O9,苓雅運動園區,R11,高雄車站,4,2024/5/31
2024/5/31,22,IC,iPASS,B,R15,生態園區,R6,凱旋,1,2024/5/31
2024/5/31,18,IC,iPASS,A,R13,凹子底                 ,R7,獅甲                  ,4,2024/5/31
2024/5/31,17,IC,iPASS,B,R21,都會公園,R5,前鎮高中,2,2024/5/31
2024/5/31,21,IC,iPASS,A,R4A,草衙                  ,R5,前鎮高中                ,3,2024/5/31
2024/5/31,0,IC,EasyCard,A,R16,左營                  ,R11,高雄車站                ,3,2024/5/31
2024/5/31,10,IC,iPASS,C01,R9,中央公園                ,R22A,橋頭糖廠                ,3,2024/5/31
2024/5/31,12,IC,iPASS,A,OT1,大寮,R11,高雄車站,1,2024/5/31
