所屬業管機關,業者編號,卡號,電子票證卡種,持卡身分,票種類型,票種次類型,搭乘路線代碼,搭乘路線名稱,搭乘附屬路線代碼,搭乘附屬路線名稱,搭乘公車路線方向,公車路線計費方式[0: ODFares 上下車刷卡格式; 1: ODTapOnceFares 上車刷卡格式; 2: StageFares 區間收費格式],上車站牌代碼,上車站牌名稱,上車計費站序資料,刷卡上車時間,下車站牌代碼,下車站牌名稱,下車站牌站序,刷卡下車時間,收費價格,優惠額度,轉乘代碼紀錄,優惠資訊,實際支付價格,是否包含異常值(係指上下站值為-99或上下車時間為1970-01-01 00:00:00之情況),檢核錯誤代碼[-2: 未經二階段檢核; -1: 路線資訊錯誤; 0: 驗證通過; 1: 站牌或站位資訊錯誤; 2: 業者與路線資訊不匹配; 3: 路線、站牌與業者資訊不匹配],檢核結果[0: 值域或各式檢核未通過; 1: 值域各式檢核通過但包含異常值; 2: 代碼或邏輯檢核未通過; 3: 值域格式及代碼邏輯皆通過],原始票證筆數,來源端平台資料更新時間(yyyy-MM-dd HH:mm:ss),本平台資料更新時間(yyyy-MM-dd HH:mm:ss),資料代表日期(yyyy-MM-dd)
Authority,OperatorNo,ID,IDType,HolderType,TicketType,SubTicketType,RouteUID,RouteName,SubRouteUID,SubRouteName,Direction,FarePricingType,BoardingStopUID,BoardingStopName,BoardingStopSequence,BoardingTime,DeboardingStopUID,DeboardingStopName,DeboardingStopSequence,DeboardingTime,Price,Discount,TransferCode,DiscountInfo,PaymentPrice,IsAbnormal,ErrorCode,Result,TicketCount,SrcUpdateTime,UpdateTime,InfoDate
Kaohsiung,1307,68f5c2acceff54ecc52b72b46a1009f7e9c4cde129d9b5279ff781c4551ec2fa,iPASS,C09,4,#KHH-399,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 08:00:00,KHH108501131412,仁林路口(澄觀路二段),3,2024-07-31 09:00:00,52.0,52.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,ed357dc217978deca9ee28a7a990ce8dc4ea0a2144d0e8fd76fac5bff21e0453,EasyCard,A,1,,KHH8505,8505,KHH8505,8505,1,0,KHH1085059412,國軍高雄總醫院(捷運衛武營站),10,2024-07-31 11:00:00,KHH108505131452,購物廣場站,15,2024-07-31 12:00:00,41.0,0.0,,,41.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,447c9a0dc0f11458d19a8cae6aa417ece4d3019ccc935ffa3c5e625a63a37c13,iPASS,C09,4,#KHH-399,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501115951,購物廣場站,2,2024-07-31 14:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 14:00:00,60.0,60.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,c04e31dc2c795becdfc2cea96daf87f71a726db03cbc679d7ea38f3040e083c5,iPASS,C01,1,,KHH8502,8502,KHH8502,8502,1,0,KHH10850238332,鼎西里,16,2024-07-31 09:00:00,KHH108502148252,義大世界站,35,2024-07-31 10:00:00,25.0,25.0,,,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,e98b560912dcc8933eac249d101fc2cb4fae514ed146a601d4550c911b649c8b,EasyCard,A,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 12:00:00,KHH108501148252,義大世界站,7,2024-07-31 12:00:00,37.0,0.0,,,37.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,7c9afdb05f6c31c4fe7d76b698989bc5b96fc7220da76b8ccf16b309e16d76b6,iPASS,C09,4,#KHH-399,KHH8506,8506,KHH8506,8506,1,0,KHH108506115942,中山路(中正路口),17,2024-07-31 08:00:00,KHH108506148252,義大世界站,21,2024-07-31 09:00:00,60.0,60.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,10372fadb4887429d4e5c26c7b3b911c2b593b77b250139d5a3a4aed79b04c99,PaymentID,C09,4,#KHH-MaaS_30D399,KHH8503,8503,KHH8503,8503,0,0,KHH108503148261,義大世界站,1,2024-07-31 17:00:00,KHH108503182131,家樂福鼎山店,8,2024-07-31 18:00:00,53.0,53.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,b5eaa4980a554d7abb5f6571bc10eab8017817354fd04a850ce01ec13a93f3e9,iPASS,C01,1,,KHH8506,8506,KHH8506,8506,0,0,KHH108506115991,楠梓火車站,7,2024-07-31 17:00:00,KHH108506118181,臺鐵岡山車站(捷運岡山車站),21,2024-07-31 17:00:00,18.0,18.0,,,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,5c98a392aef2d11f96cdf6641d4c0bcb1bf53c32445dbe1600a7ca03ce239050,PaymentID,C09,4,#KHH-MaaS_30D399,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),0,0,KHH108501148261,義大世界站,1,2024-07-31 17:00:00,KHH108501133051,高鐵左營站,7,2024-07-31 17:00:00,37.0,37.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
